Game_ID,Version,Result,Player_Score,Dealer_Score,Delta_Avg,Time_Taken
1,v_1_0_unfinished,1,1692,3152,261.9873885803177,0.1007540225982666
2,v_1_0_unfinished,1,3356,7035,66.65043501208231,0.25629115104675293
3,v_1_0_unfinished,0,6798,1603,-39.99258879539028,0.15256190299987793
4,v_1_0_unfinished,1,3288,6499,544.8667591135123,0.15873003005981445
5,v_1_0_unfinished,1,3835,6266,251.75785309198136,0.244002103805542
6,v_1_0_unfinished,0,3042,3008,336.2559914526544,0.2114410400390625
7,v_1_0_unfinished,1,2915,2985,159.76085037710678,0.4763941764831543
8,v_1_0_unfinished,1,4578,6353,-96.4958955366904,0.22203397750854492
9,v_1_0_unfinished,0,4150,1608,133.94264543673717,0.12093091011047363
10,v_1_0_unfinished,1,2809,3260,447.42681935090076,0.0651698112487793
11,v_1_0_unfinished,0,6330,3902,-50.75523376128108,0.23659515380859375
12,v_1_0_unfinished,0,6238,6066,134.3273772044815,0.3232870101928711
13,v_1_0_unfinished,0,4446,3441,173.00381637594413,0.11844396591186523
14,v_1_0_unfinished,0,6892,3284,80.86696292344784,0.2179698944091797
15,v_1_0_unfinished,0,3551,1979,16.40189948704592,0.2198948860168457
16,v_1_0_unfinished,1,4587,5978,307.956435215981,0.2136068344116211
17,v_1_0_unfinished,0,5267,5188,347.6373947548201,0.23850703239440918
18,v_1_0_unfinished,0,3336,1604,-153.0190750531764,0.07211709022521973
19,v_1_0_unfinished,1,4372,5141,295.16312240108374,0.1813979148864746
20,v_1_0_unfinished,1,4217,5361,492.5033801433995,0.09313392639160156
21,v_1_0_unfinished,1,3767,5598,-48.70036256233188,0.1755990982055664
22,v_1_0_unfinished,0,3477,2790,255.83492461974785,0.13077831268310547
23,v_1_0_unfinished,1,6202,6365,55.17952384707769,0.03881692886352539
24,v_1_0_unfinished,1,3896,5224,242.5045390993629,0.14950990676879883
25,v_1_0_unfinished,0,4430,4314,177.99892354803308,0.12383699417114258
26,v_1_0_unfinished,1,2805,6109,46.961168570877966,0.1964259147644043
27,v_1_0_unfinished,1,2891,6195,462.381798708497,0.1358928680419922
28,v_1_0_unfinished,0,2986,1571,261.6801100515834,0.2832188606262207
29,v_1_0_unfinished,0,3758,2376,63.75522650756598,0.19385814666748047
30,v_1_0_unfinished,1,4283,6610,85.64481839913151,0.249708890914917
31,v_1_0_unfinished,0,3441,2647,201.0921345642723,0.27515101432800293
32,v_1_0_unfinished,1,4292,5758,102.3236563906269,0.17209124565124512
33,v_1_0_unfinished,0,4534,2647,167.45013705848066,0.24222278594970703
34,v_1_0_unfinished,1,1631,3166,-43.31815556551369,0.28319382667541504
35,v_1_0_unfinished,0,2897,561,445.54045082085776,0.2924489974975586
36,v_1_0_unfinished,1,3767,4966,378.05104492234574,0.14197778701782227
37,v_1_0_unfinished,1,4222,6826,80.5902050166476,0.11107397079467773
38,v_1_0_unfinished,0,7191,5818,227.27832204854616,0.10371088981628418
39,v_1_0_unfinished,1,3936,5758,476.8261834992848,0.11370968818664551
40,v_1_0_unfinished,1,2626,6245,354.084059924136,0.2920079231262207
41,v_1_0_unfinished,0,3641,2976,174.38871069650094,0.11957001686096191
42,v_1_0_unfinished,1,3488,6888,266.40452996194705,0.15769219398498535
43,v_1_0_unfinished,1,243,3032,77.6094706123008,0.21497702598571777
44,v_1_0_unfinished,1,2855,5966,344.2260598749933,0.13214778900146484
45,v_1_0_unfinished,1,193,4058,781.2901866353319,0.26576995849609375
46,v_1_0_unfinished,1,2569,6833,333.16470240342545,0.1241910457611084
47,v_1_0_unfinished,1,1714,5985,-30.751669595333954,0.24120306968688965
48,v_1_0_unfinished,1,5517,6068,36.43184589465209,0.10354399681091309
49,v_1_0_unfinished,0,3565,1294,-42.94909812797414,0.05591392517089844
50,v_1_0_unfinished,1,2488,6066,401.0390467432835,0.050461769104003906
51,v_1_0_unfinished,1,5721,6805,581.8204449137745,0.03260922431945801
52,v_1_0_unfinished,0,3399,3150,363.29718721453736,0.0544581413269043
53,v_1_0_unfinished,0,6674,5309,71.7436922497257,0.07425594329833984
54,v_1_0_unfinished,1,5582,5746,738.8458716495898,0.1252279281616211
55,v_1_0_unfinished,0,4605,3150,89.94038258245583,0.103302001953125
56,v_1_0_unfinished,0,6240,5976,775.7650953806532,0.12173795700073242
