Game_ID,Version,Result,Player_Score,Dealer_Score,Delta_Avg,Time_Taken
32,v_0_3,1,2477,4673,327.75064564077843,0.5362029075622559
33,v_0_3,0,6687,3217,216.35067369998671,0.5400080680847168
34,v_0_3,0,6995,6812,63.39933470936799,0.45599818229675293
35,v_0_3,0,7233,7014,362.8459385756213,0.7486317157745361
36,v_0_3,1,4567,6195,61.79743116072741,0.9030442237854004
37,v_0_3,0,7252,3766,105.48060702729295,0.4774351119995117
38,v_0_3,1,4208,4756,245.761327637364,1.5154356956481934
39,v_0_3,0,3553,2758,46.25475446647095,0.5065209865570068
40,v_0_3,1,3516,6045,-21.978231678840455,0.5595252513885498
41,v_0_3,1,2954,5526,373.9848824134785,1.02406907081604
42,v_0_3,1,4357,7037,328.8706694141167,0.5596020221710205
43,v_0_3,1,2700,3295,506.0090590641002,1.3569238185882568
44,v_0_3,1,6275,7035,119.15467366495834,0.8700323104858398
45,v_0_3,1,454,3130,760.5739027679168,0.8055269718170166
46,v_0_3,0,3566,705,182.51147029691896,0.5600318908691406
47,v_0_3,1,3414,7217,110.13836672492131,0.5366852283477783
48,v_0_3,1,3336,4832,-354.10521032253115,0.7810943126678467
49,v_0_3,1,4490,5223,25.2006373063985,1.0457711219787598
50,v_0_3,0,3967,3265,288.05812288163696,0.6276061534881592
51,v_0_3,1,6475,7092,-112.69367695800261,1.0535790920257568
52,v_0_3,1,6276,6805,-240.87424610737102,0.47302889823913574
53,v_0_3,1,770,4349,376.9297767948354,0.45021629333496094
54,v_0_3,0,2727,1607,6.706948835980438,0.8388762474060059
55,v_0_3,1,4372,5748,243.35317793018734,0.7712609767913818
56,v_0_3,1,6649,7008,479.48520987402793,0.4489908218383789
57,v_0_3,1,5449,6066,373.7206636997664,0.4965190887451172
58,v_0_3,1,3604,4878,76.06779343912632,1.2890539169311523
59,v_0_3,1,3968,5781,179.77638705510628,0.5532500743865967
60,v_0_3,1,3868,5966,553.5751711006709,0.7471380233764648
