Game_ID,Version,Result,Player_Score,Dealer_Score,Delta_Avg,Time_Taken
1,v_0_2,1,1600,3205,-59.16377805379166,0.8794398307800293
2,v_0_2,0,6682,6352,27.279541585576794,0.944969892501831
3,v_0_2,0,3397,2986,125.40157806051445,1.0069503784179688
4,v_0_2,0,3839,3001,98.44430603031162,0.9999849796295166
5,v_0_2,1,2772,6828,-42.90177452675028,0.9520089626312256
6,v_0_2,1,2673,4975,85.20763889485302,1.0011060237884521
7,v_0_2,0,6495,6067,-161.10242932686137,0.8905460834503174
8,v_0_2,0,3776,3207,430.80734809327976,0.4459829330444336
9,v_0_2,0,7057,1600,-83.82488425139495,0.9823122024536133
10,v_0_2,1,169,1954,516.1373905360358,0.7481250762939453
11,v_0_2,1,3440,6687,206.0542649827759,0.830554723739624
12,v_0_2,0,2512,798,206.49890577226392,1.1916158199310303
13,v_0_2,1,6839,7057,-318.4902231037459,1.0187361240386963
14,v_0_2,0,7029,5088,-14.67822379608713,0.9079627990722656
15,v_0_2,1,4014,6067,368.8285367982674,0.9597342014312744
16,v_0_2,0,4050,1606,91.51052145255784,0.8066160678863525
17,v_0_2,0,5558,2908,70.71965142833614,0.7973802089691162
18,v_0_2,1,3455,3557,338.6963579367356,0.8801610469818115
19,v_0_2,1,231,5801,26.001818284955032,1.004089117050171
20,v_0_2,1,1757,5757,280.570532098685,0.9666509628295898
21,v_0_2,1,2145,2603,327.0435747812801,0.7094290256500244
22,v_0_2,1,4249,5223,225.6635275190803,0.8829598426818848
23,v_0_2,1,1811,5307,549.7653430753849,0.9906458854675293
24,v_0_2,1,6006,6103,371.8305141959291,0.9182319641113281
25,v_0_2,1,4447,5088,-44.67291177090609,1.0102510452270508
26,v_0_2,1,3447,6688,336.9548324970376,0.9311091899871826
27,v_0_2,0,3621,2919,135.6509792253113,0.792802095413208
28,v_0_2,0,6798,4981,-430.3938226650139,1.0122261047363281
29,v_0_2,1,3566,6022,425.0046273795011,0.6154541969299316
30,v_0_2,0,6305,5813,176.11003142282232,0.8761651515960693
31,v_0_2,0,3761,1351,234.29759151226682,0.8614730834960938
32,v_0_2,0,4135,3294,113.89717542929138,0.8682408332824707
33,v_0_2,1,1600,6938,-369.73160834621433,0.9923968315124512
34,v_0_2,1,3353,5536,385.150847345679,0.7882752418518066
35,v_0_2,1,6306,7014,81.53215590967186,0.9012720584869385
36,v_0_2,0,6380,5847,286.80792586854193,0.8945097923278809
37,v_0_2,1,2693,5767,7.922838099056662,1.0030200481414795
38,v_0_2,1,4029,5811,545.4924785954087,0.8151860237121582
39,v_0_2,1,3618,7035,-117.2519334372702,1.0058889389038086
40,v_0_2,1,3408,5442,45.794365795762275,1.018657922744751
41,v_0_2,1,3976,6151,316.2869042740816,0.8331859111785889
42,v_0_2,1,3955,5766,399.8846398372592,0.8354928493499756
43,v_0_2,0,5473,1123,-14.641394078985657,0.980388879776001
44,v_0_2,1,2755,7036,433.6811812620376,0.7104270458221436
45,v_0_2,1,5032,5634,1017.3174422847221,0.6578869819641113
46,v_0_2,1,3337,6001,-10.760330646362986,0.9550621509552002
47,v_0_2,0,4010,3008,-153.02546736323472,0.7214891910552979
48,v_0_2,1,1975,6245,171.49037859593352,1.0182180404663086
49,v_0_2,1,6325,7015,-53.93008121604058,1.026925802230835
50,v_0_2,0,5579,5548,132.26842177540834,0.7024750709533691
51,v_0_2,0,6251,3196,85.29049957539978,0.9486100673675537
52,v_0_2,1,3476,5598,248.53982189130463,1.0124788284301758
53,v_0_2,0,6077,1606,233.3609488231117,1.11637282371521
54,v_0_2,1,3691,6030,953.9888278618487,0.7733168601989746
