Game_ID,Version,Result,Player_Score,Dealer_Score,Delta_Avg,Time_Taken
1,v_1_1_sqrt,0,6203,5626,1.1788442481508699,0.04513192176818848
2,v_1_1_sqrt,1,4797,5540,-0.3531836615336056,0.038572072982788086
3,v_1_1_sqrt,0,6809,1607,2.503217070000425,0.009913921356201172
4,v_1_1_sqrt,1,4657,5746,-0.10654807871356838,0.02636098861694336
5,v_1_1_sqrt,1,3679,4789,1.2478051529549326,0.013878107070922852
6,v_1_1_sqrt,1,2658,5627,-0.2870963898580008,0.08414316177368164
7,v_1_1_sqrt,1,3712,5316,9.185841280343839,0.01575303077697754
8,v_1_1_sqrt,1,1974,6245,3.1100100233262293,0.04378795623779297
9,v_1_1_sqrt,0,3598,1763,-0.4402749219405028,0.036965131759643555
10,v_1_1_sqrt,1,6239,6680,-1.1874332270002796,0.12852025032043457
11,v_1_1_sqrt,0,2877,2559,3.7725538194497603,0.1401989459991455
12,v_1_1_sqrt,1,4426,5370,0.19436923051080615,0.06707572937011719
13,v_1_1_sqrt,1,2623,3229,0.24063950175219098,0.1426539421081543
14,v_1_1_sqrt,0,6282,5546,5.6578140663207055,0.010925054550170898
15,v_1_1_sqrt,1,3511,4543,2.351096080295173,0.01628899574279785
16,v_1_1_sqrt,1,3454,6030,4.732634314187154,0.0185699462890625
17,v_1_1_sqrt,0,3603,3272,0.33965815542091654,0.1650857925415039
18,v_1_1_sqrt,0,4985,2823,0.7105269532303669,0.08671426773071289
19,v_1_1_sqrt,1,5310,5662,1.9406236026922665,0.03147292137145996
20,v_1_1_sqrt,0,6189,5813,-0.3226876330189091,0.024693012237548828
21,v_1_1_sqrt,0,6583,5805,-0.6271872999935482,0.059152841567993164
22,v_1_1_sqrt,0,1601,1585,2.6505456328996106,0.17816805839538574
23,v_1_1_sqrt,1,2567,6688,6.264819263595622,0.03671979904174805
24,v_1_1_sqrt,1,3163,6187,4.44358417440429,0.025973796844482422
25,v_1_1_sqrt,0,6300,6273,4.003914622192991,0.01684713363647461
26,v_1_1_sqrt,1,1676,5105,0.337715965906141,0.14354419708251953
27,v_1_1_sqrt,1,4494,6066,3.3807417973959075,0.03082418441772461
28,v_1_1_sqrt,0,6339,5598,2.476378439229004,0.02841496467590332
29,v_1_1_sqrt,0,4697,4129,0.15875544637918118,0.017128944396972656
30,v_1_1_sqrt,1,3361,6031,1.9279352467390265,0.11658811569213867
31,v_1_1_sqrt,1,6396,6679,3.8437453957068866,0.013510942459106445
32,v_1_1_sqrt,1,4836,6001,1.6093893793620802,0.03742480278015137
33,v_1_1_sqrt,1,2935,5386,1.9484721647470948,0.029546022415161133
34,v_1_1_sqrt,1,3331,7217,2.3493313527601623,0.04084300994873047
35,v_1_1_sqrt,0,3987,1204,1.5846965956723045,0.16940999031066895
36,v_1_1_sqrt,1,3658,6104,0.5214147840387222,0.0485689640045166
37,v_1_1_sqrt,0,4213,3130,-0.37817737288393183,0.118682861328125
38,v_1_1_sqrt,1,4242,6209,1.0487818364659804,0.13898396492004395
39,v_1_1_sqrt,1,3838,6471,1.1635801001157267,0.03602194786071777
40,v_1_1_sqrt,1,3550,5409,0.6002008495211081,0.0474088191986084
41,v_1_1_sqrt,1,3010,6238,2.6048377618664644,0.06588196754455566
42,v_1_1_sqrt,0,4261,2853,-3.6881600649142943,0.21294403076171875
43,v_1_1_sqrt,1,170,2887,2.093932798155203,0.05279827117919922
44,v_1_1_sqrt,1,5266,5861,1.3580648809241,0.061187028884887695
45,v_1_1_sqrt,1,5144,6882,5.721873927626896,0.05372810363769531
46,v_1_1_sqrt,1,3964,5967,10.009198190953269,0.020899057388305664
47,v_1_1_sqrt,0,6251,5583,2.3042497002516993,0.016201019287109375
48,v_1_1_sqrt,1,2012,5758,1.5364589477533233,0.02107715606689453
49,v_1_1_sqrt,1,4054,5142,7.3376949808954794,0.017368793487548828
50,v_1_1_sqrt,0,3748,1609,3.1283527496591823,0.08985304832458496
51,v_1_1_sqrt,1,4590,5529,1.5519092648404673,0.01278376579284668
52,v_1_1_sqrt,1,5584,5977,5.943840463375377,0.05109810829162598
53,v_1_1_sqrt,1,770,6847,-0.7282663035999176,0.02990889549255371
54,v_1_1_sqrt,0,6446,2666,0.5491841806309609,0.06056380271911621
55,v_1_1_sqrt,1,1947,2700,1.2010409417523966,0.07759499549865723
56,v_1_1_sqrt,0,7007,5849,4.486469731462363,0.017286062240600586
57,v_1_1_sqrt,0,6269,4498,2.279309699644234,0.03343677520751953
58,v_1_1_sqrt,0,3361,1601,3.3488313593870638,0.05618119239807129
59,v_1_1_sqrt,1,4810,6030,7.38347213181119,0.015032052993774414
60,v_1_1_sqrt,1,4913,6245,1.5411306132631921,0.042196035385131836
61,v_1_1_sqrt,1,6561,7036,1.1562550003317185,0.019407272338867188
62,v_1_1_sqrt,1,3336,7020,0.08639069824511453,0.03769493103027344
63,v_1_1_sqrt,1,3756,6399,-1.1913203279965374,0.03264307975769043
64,v_1_1_sqrt,1,5170,7008,0.25070915518258874,0.02152276039123535
65,v_1_1_sqrt,0,3430,1605,2.711871203035793,0.022361040115356445
66,v_1_1_sqrt,0,6403,4272,-0.3593373541448338,0.0660390853881836
67,v_1_1_sqrt,0,4996,1603,0.6090918545130662,0.04400491714477539
68,v_1_1_sqrt,1,2538,5801,2.3036563631510574,0.031134843826293945
69,v_1_1_sqrt,1,3601,6722,2.105793667828524,0.10266280174255371
70,v_1_1_sqrt,0,4870,1410,0.32170773006115444,0.039541006088256836
71,v_1_1_sqrt,0,4491,2908,-0.03914848130219628,0.10683393478393555
72,v_1_1_sqrt,1,3596,7057,1.8022126835288124,0.07943296432495117
73,v_1_1_sqrt,1,6620,6693,-0.7581137702354904,0.03857302665710449
74,v_1_1_sqrt,1,6427,6686,-1.6042008850242324,0.02746891975402832
75,v_1_1_sqrt,0,4438,4287,-0.5360632220947664,0.13486790657043457
76,v_1_1_sqrt,1,4509,6350,2.1912961793712706,0.04158186912536621
77,v_1_1_sqrt,1,4815,7112,4.089285493113414,0.015551090240478516
78,v_1_1_sqrt,0,5167,4974,0.055715507019986885,0.034078121185302734
79,v_1_1_sqrt,1,3112,3426,1.2047788711618637,0.018825054168701172
80,v_1_1_sqrt,1,6593,6812,1.101168848391468,0.011946916580200195
81,v_1_1_sqrt,1,4499,5966,3.680291668023241,0.030605077743530273
82,v_1_1_sqrt,1,6186,6203,1.8662293464368653,0.014647960662841797
83,v_1_1_sqrt,0,7408,4129,-2.3369957459310586,0.02374720573425293
84,v_1_1_sqrt,0,2652,1607,2.295128904179562,0.01603984832763672
85,v_1_1_sqrt,1,4024,5362,9.296451278091064,0.01372218132019043
86,v_1_1_sqrt,0,3388,2711,2.072572462015607,0.01510000228881836
87,v_1_1_sqrt,1,69,3228,8.248685994120514,0.11195898056030273
88,v_1_1_sqrt,1,3477,4762,2.3503604380113328,0.10443878173828125
89,v_1_1_sqrt,1,4551,5553,2.2150830904917513,0.04241204261779785
90,v_1_1_sqrt,1,6360,6748,-0.7791013062408138,0.07818317413330078
91,v_1_1_sqrt,1,3710,5545,2.921141475391987,0.025539159774780273
92,v_1_1_sqrt,0,6904,5966,5.411064200253161,0.017013072967529297
93,v_1_1_sqrt,1,1746,5088,0.7247237350442711,0.036134958267211914
94,v_1_1_sqrt,1,2841,3632,1.9969431849684125,0.06956815719604492
95,v_1_1_sqrt,1,1622,3603,3.1378729674828545,0.04548001289367676
96,v_1_1_sqrt,0,1765,1604,2.7685810664264583,0.16237401962280273
97,v_1_1_sqrt,0,3487,3273,2.870635115865082,0.041481971740722656
98,v_1_1_sqrt,1,6061,7097,1.6483948998872795,0.03564596176147461
99,v_1_1_sqrt,1,3774,7014,0.26774106567008066,0.09451007843017578
100,v_1_1_sqrt,0,2616,1606,1.3506351270933596,0.41074681282043457
101,v_1_1_sqrt,0,6671,5626,1.250536619965694,0.07861495018005371
102,v_1_1_sqrt,0,3771,440,1.3465122100446933,0.08816409111022949
103,v_1_1_sqrt,1,1660,5882,1.17283163324682,0.044042110443115234
104,v_1_1_sqrt,1,4922,6195,1.518036073475476,0.021863937377929688
105,v_1_1_sqrt,1,3329,6066,5.088621308695012,0.05943799018859863
